Date,cases_age_group_0_to_9,female_0_to_9_cases_perc,male_0_to_9_cases_perc,cases_age_group_10_to_19,female_10_to_19_cases_perc,male_10_to_19_cases_perc,cases_age_group_20_to_29,female_20_to_29_cases_perc,male_20_to_29_cases_perc,cases_age_group_30_to_39,female_30_to_39_cases_perc,male_30_to_39_cases_perc,cases_age_group_40_to_49,female_40_to_49_cases_perc,male_40_to_49_cases_perc,cases_age_group_50_to_59,female_50_to_59_cases_perc,male_50_to_59_cases_perc,cases_age_group_60_to_69,female_60_to_69_cases_perc,male_60_to_69_cases_perc,cases_age_group_70_to_79,female_70_to_79_cases_perc,male_70_to_79_cases_perc,cases_age_group_80_to_89,female_80_to_89_cases_perc,male_80_to_89_cases_perc,cases_age_group_90_plus,female_90_plus_cases_perc,male_90_plus_cases_perc
2021-02-12,5315,45%,55%,12072,45%,55%,43276,43%,57%,56316,36%,64%,55739,35%,65%,60449,38%,62%,43378,40%,60%,22863,42%,58%,7600,42%,58%,939,47%,53%
2021-02-13,5323,45%,55%,12087,45%,55%,43338,43%,57%,56407,36%,64%,55836,35%,65%,60550,38%,62%,43445,40%,60%,22891,42%,58%,7612,42%,58%,940,47%,53%
2021-02-14,5328,45%,55%,12125,45%,55%,43412,43%,57%,56508,36%,64%,55940,35%,65%,60666,38%,62%,43522,40%,60%,22931,42%,58%,7632,42%,58%,944,47%,53%
2021-02-15,5333,45%,55%,12133,45%,55%,43481,43%,57%,56616,36%,64%,56000,35%,65%,60754,38%,62%,43581,40%,60%,22968,42%,58%,7649,42%,58%,947,47%,53%
2021-02-16,5339,45%,55%,12142,45%,55%,43539,43%,57%,56698,36%,64%,56063,35%,65%,60833,38%,62%,43646,40%,60%,22999,42%,58%,7665,42%,58%,947,47%,53%
2021-02-17,5346,45%,55%,12161,45%,55%,43640,43%,57%,56820,36%,64%,56174,35%,65%,60970,38%,62%,43744,40%,60%,23051,42%,58%,7676,42%,58%,948,47%,53%
2021-02-18,5360,45%,55%,12187,45%,55%,43748,43%,57%,56941,36%,64%,56300,35%,65%,61098,38%,62%,43844,40%,60%,23101,42%,58%,7695,42%,58%,949,47%,53%
2021-02-19,5372,45%,55%,12221,45%,55%,43854,43%,57%,57086,36%,64%,56443,35%,65%,61242,38%,62%,43956,40%,60%,23158,42%,58%,7719,42%,58%,951,47%,53%
2021-02-20,5381,45%,55%,12256,45%,55%,43959,43%,57%,57248,36%,64%,56604,35%,65%,61378,38%,62%,44050,40%,60%,23222,42%,58%,7737,42%,58%,953,47%,53%
2021-02-21,5397,45%,55%,12312,45%,55%,44109,43%,57%,57406,36%,64%,56749,35%,65%,61565,38%,62%,44177,40%,60%,23285,42%,58%,7752,42%,58%,958,47%,53%
2021-02-22,5409,45%,55%,12349,45%,55%,44210,43%,57%,57536,36%,64%,56888,35%,65%,61703,38%,62%,44259,40%,60%,23341,42%,58%,7767,42%,58%,959,47%,53%
2021-02-23,5418,45%,55%,12378,45%,55%,44311,43%,57%,57627,36%,64%,57000,35%,65%,61822,38%,62%,44336,40%,60%,23381,42%,58%,7786,42%,58%,960,47%,53%
2021-02-24,5434,45%,55%,12426,45%,55%,44483,43%,57%,57826,36%,64%,57228,35%,65%,62020,38%,62%,44463,40%,60%,23445,42%,58%,7812,42%,58%,964,47%,53%
2021-02-25,5449,45%,55%,12466,45%,55%,44661,43%,57%,58035,36%,64%,57416,35%,65%,62211,38%,62%,44607,40%,60%,23523,42%,58%,7833,42%,58%,966,47%,53%
2021-02-26,5461,45%,55%,12511,45%,55%,44816,43%,57%,58211,36%,64%,57562,35%,65%,62394,38%,62%,44757,40%,60%,23592,42%,58%,7854,42%,58%,972,47%,53%
2021-02-27,5482,45%,55%,12552,45%,55%,44952,43%,57%,58382,36%,64%,57721,35%,65%,62581,38%,62%,44877,40%,60%,23648,42%,58%,7874,42%,58%,981,47%,53%
2021-02-28,5502,45%,55%,12592,45%,55%,45099,43%,57%,58574,36%,64%,57891,35%,65%,62756,38%,62%,45008,40%,60%,23706,42%,58%,7899,42%,58%,983,47%,53%
2021-03-01,5513,45%,55%,12632,45%,55%,45214,43%,57%,58707,36%,64%,58016,35%,65%,62927,38%,62%,45115,40%,60%,23763,42%,58%,7915,42%,58%,988,47%,53%
2021-03-02,5523,45%,55%,12657,45%,55%,45348,43%,57%,58850,36%,64%,58127,35%,65%,63081,38%,62%,45244,40%,60%,23821,42%,58%,7937,42%,58%,993,47%,53%
2021-03-03,5539,45%,55%,12697,45%,55%,45505,43%,57%,59037,36%,64%,58319,35%,65%,63291,38%,62%,45369,40%,60%,23891,42%,58%,7962,42%,58%,997,47%,53%
2021-03-04,5551,45%,55%,12736,45%,55%,45665,43%,57%,59234,36%,64%,58515,35%,65%,63482,38%,62%,45502,40%,60%,23967,42%,58%,7974,42%,58%,998,47%,53%
2021-03-05,5559,45%,55%,12799,45%,55%,45825,43%,57%,59454,36%,64%,58727,35%,65%,63688,38%,62%,45633,40%,60%,24034,42%,58%,7997,42%,58%,999,47%,53%
2021-03-06,5576,45%,55%,12864,45%,55%,45992,43%,57%,59655,36%,64%,58954,35%,65%,63868,38%,62%,45790,40%,60%,24110,42%,58%,8019,42%,58%,1002,47%,53%
2021-03-07,5588,45%,55%,12923,45%,55%,46170,43%,57%,59872,36%,64%,59186,35%,65%,64075,38%,62%,45926,40%,60%,24185,42%,58%,8049,42%,58%,1007,47%,53%
2021-03-08,5609,45%,55%,12971,45%,55%,46310,43%,57%,60076,36%,64%,59337,35%,65%,64272,38%,62%,46066,40%,60%,24250,42%,58%,8072,42%,58%,1013,47%,53%
2021-03-09,5620,45%,55%,13014,45%,55%,46427,43%,57%,60248,36%,64%,59535,35%,65%,64461,38%,62%,46185,40%,60%,24310,42%,58%,8092,42%,58%,1016,47%,53%
2021-03-10,5638,45%,55%,13072,45%,55%,46669,43%,57%,60526,36%,64%,59780,35%,65%,64750,38%,62%,46371,40%,60%,24390,42%,58%,8135,42%,58%,1020,47%,53%
2021-03-11,5659,45%,55%,13138,45%,55%,46895,43%,57%,60804,36%,64%,60036,35%,65%,65022,38%,62%,46519,40%,60%,24485,42%,58%,8164,42%,58%,1022,47%,53%
2021-03-12,5683,45%,55%,13205,45%,55%,47140,43%,57%,61142,36%,64%,60340,35%,65%,65287,38%,62%,46722,40%,60%,24569,42%,58%,8196,42%,58%,1032,47%,53%
2021-03-13,5711,45%,55%,13289,45%,55%,47408,43%,57%,61483,36%,64%,60617,35%,65%,65569,38%,62%,46915,40%,60%,24660,42%,58%,8234,42%,58%,1036,47%,53%
2021-03-14,5739,45%,55%,13377,45%,55%,47719,43%,57%,61868,36%,64%,60941,35%,65%,65891,38%,62%,47155,40%,60%,24756,42%,58%,8271,42%,58%,1040,47%,53%
2021-03-15,5771,45%,55%,13443,45%,55%,47991,43%,57%,62159,36%,64%,61268,35%,65%,66129,38%,62%,47345,40%,60%,24874,42%,58%,8313,42%,58%,1047,47%,53%
2021-03-16,5799,45%,55%,13538,45%,55%,48290,43%,57%,62527,36%,64%,61581,35%,65%,66439,38%,62%,47565,40%,60%,24986,42%,58%,8352,42%,58%,1052,47%,53%
2021-03-17,5837,45%,55%,13651,45%,55%,48641,43%,57%,62992,36%,64%,62002,35%,65%,66837,38%,62%,47796,40%,60%,25111,42%,58%,8403,42%,58%,1060,47%,53%
2021-03-18,5879,45%,55%,13764,45%,55%,49118,43%,57%,63553,36%,64%,62495,35%,65%,67316,38%,62%,48105,40%,60%,25244,42%,58%,8469,42%,58%,1067,47%,53%
2021-03-19,5935,45%,55%,13917,45%,55%,49599,43%,57%,64153,36%,64%,63020,35%,65%,67787,38%,62%,48431,40%,60%,25398,42%,58%,8534,42%,58%,1078,47%,53%
2021-03-20,5973,45%,55%,14053,45%,55%,50071,43%,57%,64744,36%,64%,63525,35%,65%,68237,38%,62%,48749,40%,60%,25568,42%,58%,8591,42%,58%,1087,47%,53%
2021-03-21,6023,45%,55%,14235,45%,55%,50660,43%,57%,65513,36%,64%,64167,35%,65%,68850,38%,62%,49128,40%,60%,25778,42%,58%,8642,42%,58%,1099,47%,53%
2021-03-22,6068,45%,55%,14395,45%,55%,51210,43%,57%,66125,36%,64%,64659,35%,65%,69404,38%,62%,49480,40%,60%,25965,42%,58%,8707,42%,58%,1109,47%,53%
2021-03-23,6132,45%,55%,14529,45%,55%,51761,43%,57%,66802,36%,64%,65232,35%,65%,69960,38%,62%,49901,40%,60%,26156,42%,58%,8777,42%,58%,1117,47%,53%
2021-03-24,6196,45%,55%,14744,45%,55%,52623,43%,57%,67878,36%,64%,66125,35%,65%,70785,38%,62%,50478,40%,60%,26426,42%,58%,8882,42%,58%,1137,47%,53%
2021-03-25,6286,45%,55%,15001,45%,55%,53474,43%,57%,68983,36%,64%,67135,35%,65%,71642,38%,62%,51075,40%,60%,26734,42%,58%,8979,42%,58%,1152,47%,53%
2021-03-26,6359,45%,55%,15280,45%,55%,54378,43%,57%,70114,36%,64%,68096,35%,65%,72467,38%,62%,51642,40%,60%,27007,42%,58%,9090,42%,58%,1169,47%,53%
2021-03-27,6437,45%,55%,15585,45%,55%,55448,43%,57%,71373,36%,64%,69166,35%,65%,73401,38%,62%,52252,40%,60%,27345,42%,58%,9203,42%,58%,1189,47%,53%
2021-03-28,6532,45%,55%,15926,45%,55%,56667,43%,57%,72756,36%,64%,70308,35%,65%,74453,38%,62%,52907,40%,60%,27692,42%,58%,9322,42%,58%,1212,47%,53%
2021-03-29,6623,45%,55%,16204,45%,55%,57645,43%,57%,73890,36%,64%,71288,35%,65%,75359,38%,62%,53547,40%,60%,28019,42%,58%,9440,42%,58%,1232,47%,53%
2021-03-30,6706,45%,55%,16431,45%,55%,58395,43%,57%,74817,36%,64%,72161,35%,65%,76153,38%,62%,54063,40%,60%,28316,42%,58%,9550,42%,58%,1249,47%,53%
2021-03-31,6798,45%,55%,16677,45%,55%,59262,43%,57%,75872,36%,64%,73132,35%,65%,77063,38%,62%,54635,40%,60%,28657,42%,58%,9657,42%,58%,1273,47%,53%
2021-04-01,6892,45%,55%,17109,45%,55%,60627,43%,57%,77612,36%,64%,74648,35%,65%,78471,38%,62%,55566,40%,60%,29162,42%,58%,9828,42%,58%,1309,47%,53%
2021-04-02,7020,45%,55%,17549,45%,55%,62094,43%,57%,79376,36%,64%,76156,35%,65%,79911,38%,62%,56480,40%,60%,29658,42%,58%,10024,42%,58%,1338,47%,53%
2021-04-03,7159,45%,55%,17993,45%,55%,63534,43%,57%,81151,36%,64%,77837,35%,65%,81377,38%,62%,57477,40%,60%,30126,42%,58%,10194,42%,58%,1374,47%,53%
2021-04-04,7326,45%,55%,18528,45%,55%,65283,43%,57%,83225,36%,64%,79572,35%,65%,83072,38%,62%,58499,40%,60%,30680,42%,58%,10413,42%,58%,1416,47%,53%
2021-04-05,7504,45%,55%,19038,45%,55%,66776,43%,57%,85056,36%,64%,81202,35%,65%,84530,38%,62%,59609,40%,60%,31234,42%,58%,10651,42%,58%,1452,47%,53%
2021-04-06,7675,45%,55%,19558,45%,55%,68345,43%,57%,86939,36%,64%,82827,35%,65%,86058,38%,62%,60706,40%,60%,31827,42%,58%,10849,42%,58%,1499,47%,53%
2021-04-07,7852,45%,55%,20120,45%,55%,70047,43%,57%,88994,36%,64%,84712,35%,65%,87659,38%,62%,61805,40%,60%,32494,42%,58%,11085,42%,58%,1547,47%,53%
2021-04-08,7984,45%,55%,20587,45%,55%,71492,43%,57%,90790,36%,64%,86168,35%,65%,88915,38%,62%,62716,40%,60%,32984,42%,58%,11265,42%,58%,1588,47%,53%
2021-04-09,8151,45%,55%,21045,45%,55%,73137,43%,57%,92765,36%,64%,87740,35%,65%,90155,38%,62%,63635,40%,60%,33484,42%,58%,11433,42%,58%,1623,47%,53%
2021-04-10,8322,45%,55%,21493,45%,55%,74845,43%,57%,94783,36%,64%,89279,35%,65%,91403,38%,62%,64505,40%,60%,33982,42%,58%,11625,42%,58%,1675,47%,53%
2021-04-11,8502,45%,55%,21973,45%,55%,76719,43%,57%,96977,36%,64%,90895,35%,65%,92806,38%,62%,65441,40%,60%,34518,42%,58%,11847,42%,58%,1737,47%,53%
2021-04-12,8616,45%,55%,22284,45%,55%,78100,43%,57%,98512,36%,64%,92126,35%,65%,93769,38%,62%,66089,40%,60%,34904,42%,58%,11985,42%,58%,1760,47%,53%
2021-04-13,8736,45%,55%,22636,45%,55%,79575,43%,57%,100162,36%,64%,93452,35%,65%,94852,38%,62%,66804,40%,60%,35313,42%,58%,12133,42%,58%,1784,47%,53%
2021-04-14,8887,45%,55%,23082,45%,55%,81162,43%,57%,102161,36%,64%,95028,35%,65%,96136,38%,62%,67656,40%,60%,35783,42%,58%,12319,42%,58%,1826,47%,53%
2021-04-15,9041,45%,55%,23483,45%,55%,82526,43%,57%,103855,36%,64%,96440,35%,65%,97332,38%,62%,68510,40%,60%,36252,42%,58%,12521,42%,58%,1870,47%,53%
2021-04-16,9187,45%,55%,23870,45%,55%,84107,43%,57%,105605,36%,64%,97839,35%,65%,98643,38%,62%,69351,40%,60%,36762,42%,58%,12711,42%,58%,1919,47%,53%
2021-04-17,9371,45%,55%,24328,45%,55%,85593,43%,57%,107426,36%,64%,99307,35%,65%,99930,38%,62%,70218,40%,60%,37271,42%,58%,12922,42%,58%,1971,47%,53%
2021-04-18,9514,45%,55%,24727,45%,55%,87001,43%,57%,109177,36%,64%,100711,35%,65%,101191,38%,62%,71105,40%,60%,37783,42%,58%,13150,42%,58%,2015,47%,53%
2021-04-19,9658,45%,55%,25110,45%,55%,88228,43%,57%,110674,36%,64%,101949,35%,65%,102301,38%,62%,71879,40%,60%,38219,42%,58%,13315,42%,58%,2055,47%,53%
2021-04-20,9797,45%,55%,25459,45%,55%,89337,43%,57%,112108,36%,64%,103220,35%,65%,103348,38%,62%,72622,40%,60%,38693,42%,58%,13505,42%,58%,2087,47%,53%
2021-04-21,9926,45%,55%,25841,45%,55%,90580,43%,57%,113622,36%,64%,104517,35%,65%,104441,38%,62%,73419,40%,60%,39169,42%,58%,13691,42%,58%,2120,47%,53%
2021-04-22,10088,45%,55%,26204,45%,55%,91726,43%,57%,115094,36%,64%,105725,35%,65%,105466,38%,62%,74164,40%,60%,39668,42%,58%,13873,42%,58%,2164,47%,53%
2021-04-23,10224,45%,55%,26576,45%,55%,92910,43%,57%,116512,36%,64%,106935,35%,65%,106489,38%,62%,74889,40%,60%,40100,42%,58%,14054,42%,58%,2204,47%,53%
2021-04-24,10327,45%,55%,26860,45%,55%,93807,43%,57%,117650,36%,64%,107882,35%,65%,107298,38%,62%,75518,40%,60%,40473,42%,58%,14200,42%,58%,2239,47%,53%
2021-04-25,10448,45%,55%,27124,45%,55%,94645,43%,57%,118749,36%,64%,108841,35%,65%,108123,38%,62%,76136,40%,60%,40864,42%,58%,14349,42%,58%,2263,47%,53%
2021-04-26,10524,45%,55%,27328,45%,55%,95230,43%,57%,119525,36%,64%,109497,35%,65%,108660,38%,62%,76556,40%,60%,41124,42%,58%,14443,42%,58%,2277,47%,53%
2021-04-27,10610,45%,55%,27530,45%,55%,95925,43%,57%,120314,36%,64%,110157,35%,65%,109270,38%,62%,76952,40%,60%,41368,42%,58%,14559,42%,58%,2287,47%,53%
2021-04-28,10712,45%,55%,27777,45%,55%,96657,43%,57%,121337,36%,64%,111001,35%,65%,110010,38%,62%,77517,40%,60%,41689,42%,58%,14675,42%,58%,2312,47%,53%
2021-04-29,10807,45%,55%,28000,45%,55%,97299,43%,57%,122170,36%,64%,111751,35%,65%,110601,38%,62%,77972,40%,60%,41975,42%,58%,14780,42%,58%,2330,47%,53%
2021-04-30,10883,45%,55%,28203,45%,55%,97915,43%,57%,122981,36%,64%,112419,35%,65%,111161,38%,62%,78400,40%,60%,42231,42%,58%,14866,42%,58%,2342,47%,53%
2021-05-01,10958,45%,55%,28391,45%,55%,98571,43%,57%,123814,36%,64%,113075,35%,65%,111680,38%,62%,78768,40%,60%,42508,42%,58%,14970,42%,58%,2351,47%,53%
2021-05-02,11021,45%,55%,28570,45%,55%,99193,43%,57%,124541,36%,64%,113649,35%,65%,112167,38%,62%,79160,40%,60%,42747,42%,58%,15075,42%,58%,2364,47%,53%
2021-05-03,11080,45%,55%,28720,45%,55%,99599,43%,57%,125093,36%,64%,114072,35%,65%,112539,38%,62%,79424,40%,60%,42943,42%,58%,15137,42%,58%,2377,47%,53%
2021-05-04,11144,45%,55%,28869,45%,55%,99998,43%,57%,125664,36%,64%,114541,35%,65%,112870,38%,62%,79698,40%,60%,43097,42%,58%,15192,42%,58%,2388,47%,53%
2021-05-05,11243,45%,55%,29076,45%,55%,100608,43%,57%,126449,36%,64%,115160,35%,65%,113357,38%,62%,80082,40%,60%,43343,42%,58%,15275,42%,58%,2411,47%,53%
2021-05-06,11226,45%,55%,29011,45%,55%,100194,43%,57%,126032,36%,64%,114732,35%,65%,112727,38%,62%,79634,40%,60%,43111,42%,58%,15145,42%,58%,2398,47%,53%
2021-05-07,11297,55%,55%,29192,57%,64%,100656,65%,62%,126661,60%,58%,115222,58%,53%,113104,45%,45%,79938,43%,36%,43304,35%,38%,15226,40%,42%,2405,42%,47%
2021-05-08,11361,45%,55%,29347,45%,55%,101113,43%,57%,127184,36%,64%,115672,35%,65%,113446,38%,62%,80193,40%,60%,43477,42%,58%,15296,42%,58%,2419,47%,53%
2021-05-09,11423,45%,55%,29463,44%,56%,101521,40%,60%,127676,37%,63%,116061,37%,63%,113770,40%,60%,80417,41%,59%,43653,42%,58%,15356,43%,57%,2428,46%,54%
2021-05-10,11480,45%,55%,29559,44%,56%,101786,40%,60%,128056,37%,63%,116366,37%,63%,114008,40%,60%,80604,41%,59%,43762,42%,58%,15405,43%,57%,2436,46%,54%
2021-05-11,11536,45%,55%,29671,45%,55%,102071,40%,60%,128474,37%,63%,116682,37%,63%,114272,40%,60%,80775,41%,59%,43886,42%,58%,15448,43%,57%,2445,46%,54%
2021-05-12,11600,45%,55%,29820,44%,56%,102526,40%,60%,129023,37%,63%,117106,37%,63%,114597,40%,60%,81022,41%,59%,44036,42%,58%,15509,43%,57%,2450,46%,54%
2021-05-17,11787,45%,55%,30318,44%,56%,103997,40%,60%,130808,37%,63%,118521,37%,63%,115724,40%,60%,81855,41%,59%,44598,42%,58%,15706,43%,57%,2491,46%,54%
2021-05-18,11822,45%,55%,30396,44%,56%,104216,40%,60%,131074,37%,63%,118736,37%,63%,115891,40%,60%,81984,41%,59%,44660,42%,58%,15738,43%,57%,2495,46%,54%
2021-05-20,11889,45%,55%,30570,44%,56%,104686,40%,60%,131747,37%,63%,119251,37%,63%,116327,40%,60%,82308,41%,59%,44836,42%,58%,15789,43%,57%,2507,46%,54%
2021-05-21,11930,45%,55%,30666,44%,56%,104957,40%,60%,132074,37%,63%,119522,37%,63%,116537,40%,60%,82479,41%,59%,44925,42%,58%,15834,43%,57%,2509,46%,54%
2021-05-22,11967,45%,55%,30736,44%,56%,105171,40%,60%,132388,37%,63%,119775,37%,63%,116698,40%,60%,82614,41%,59%,45017,42%,58%,15864,43%,57%,2513,46%,54%
2021-05-23,12001,45%,55%,30826,44%,56%,105401,40%,60%,132723,37%,63%,120003,37%,63%,116879,40%,60%,82766,41%,59%,45113,42%,58%,15893,42%,58%,2520,43%,57%
2021-05-24,12027,45%,55%,30899,44%,56%,105553,40%,60%,132909,37%,63%,120196,37%,63%,117022,40%,60%,82860,42%,58%,45179,42%,58%,15917,43%,57%,2528,46%,54%
2021-05-25,12052,45%,55%,30965,44%,56%,105756,40%,60%,133168,37%,63%,120397,37%,63%,117186,40%,60%,82979,42%,58%,45261,42%,58%,15951,43%,57%,2532,46%,54%
2021-05-26,12090,45%,55%,31050,44%,56%,105974,40%,60%,133447,37%,63%,120638,37%,63%,117354,40%,60%,83103,42%,58%,45338,42%,58%,15979,43%,57%,2535,46%,54%
2021-05-27,12121,45%,55%,31110,44%,56%,106155,40%,60%,133686,37%,63%,120851,37%,63%,117520,40%,60%,83217,42%,58%,45409,42%,58%,16008,43%,57%,2542,46%,54%
2021-05-28,12142,45%,55%,31158,44%,56%,106298,40%,60%,133889,37%,63%,121021,37%,63%,117644,40%,60%,83312,42%,58%,45477,42%,58%,16034,43%,57%,2546,46%,54%
2021-05-29,12173,45%,55%,31222,44%,56%,106467,40%,60%,134121,37%,63%,121217,37%,63%,117788,40%,60%,83431,42%,58%,45527,42%,58%,16054,43%,57%,2549,46%,54%
2021-05-30,12196,45%,55%,31296,44%,56%,106654,40%,60%,134339,37%,63%,121408,37%,63%,117931,40%,60%,83552,42%,58%,45599,42%,58%,16078,43%,57%,2555,46%,54%
2021-05-31,12219,45%,55%,31342,44%,56%,106755,40%,60%,134463,37%,63%,121536,37%,63%,118024,40%,60%,83621,42%,58%,45638,42%,58%,16094,43%,57%,2557,46%,54%
2021-06-01,12249,45%,55%,31397,44%,56%,106888,40%,60%,134616,37%,63%,121690,37%,63%,118136,40%,60%,83703,42%,58%,45690,42%,58%,16129,43%,57%,2558,46%,54%
2021-06-02,12280,45%,55%,31468,44%,56%,107054,40%,60%,134806,37%,63%,121879,37%,63%,118253,40%,60%,83817,42%,58%,45741,42%,58%,16154,43%,57%,2564,46%,54%
2021-06-03,12298,45%,55%,31514,44%,56%,107204,40%,60%,135005,37%,63%,122049,37%,63%,118398,40%,60%,83923,42%,58%,45822,42%,58%,16168,43%,57%,2568,46%,54%
2021-06-04,12327,45%,55%,31581,44%,56%,107375,40%,60%,135221,37%,63%,122217,37%,63%,118512,40%,60%,84030,42%,58%,45876,42%,58%,16195,43%,57%,2570,46%,54%
2021-06-05,12364,45%,55%,31654,44%,56%,107507,40%,60%,135399,37%,63%,122351,37%,63%,118640,40%,60%,84121,42%,58%,45935,42%,58%,16212,43%,57%,2571,46%,54%
2021-06-06,12384,45%,55%,31702,44%,56%,107639,40%,60%,135567,37%,63%,122501,37%,63%,118770,40%,60%,84203,42%,58%,45996,42%,58%,16226,43%,57%,2574,46%,54%
2021-06-07,12400,45%,55%,31752,44%,56%,107745,40%,60%,135726,37%,63%,122619,37%,63%,118882,40%,60%,84292,42%,58%,46049,42%,58%,16241,43%,57%,2577,46%,54%
2021-06-08,12423,45%,55%,31804,44%,56%,107845,40%,60%,135869,37%,63%,122774,37%,63%,118958,40%,60%,84369,42%,58%,46106,42%,58%,16260,43%,57%,2579,46%,54%
2021-06-09,12446,45%,55%,31859,44%,56%,107985,40%,60%,136039,37%,63%,122929,37%,63%,119082,40%,60%,84442,42%,58%,46166,42%,58%,16286,43%,57%,2583,46%,54%
2021-06-10,12446,45%,55%,31859,44%,56%,107985,40%,60%,136039,37%,63%,122929,37%,63%,119082,40%,60%,84442,42%,58%,46166,42%,58%,16286,43%,57%,2583,46%,54%
2021-06-11,12476,45%,55%,31946,44%,56%,108178,40%,60%,136343,37%,63%,123172,37%,60%,119265,40%,60%,84570,42%,58%,46251,42%,58%,16308,43%,57%,2592,46%,54%
2021-06-12,12497,45%,55%,32016,44%,56%,108272,40%,60%,136493,37%,63%,123292,37%,63%,119352,40%,60%,84653,42%,58%,46301,42%,58%,16332,43%,57%,2595,46%,54%
2021-06-13,12513,45%,55%,32072,44%,56%,108373,40%,60%,136621,37%,63%,123415,37%,63%,119438,40%,60%,84727,42%,58%,46362,42%,58%,16350,43%,57%,2599,46%,54%
2021-06-14,12536,45%,55%,32115,44%,56%,108450,40%,60%,136709,37%,63%,123505,37%,63%,119515,40%,60%,84787,42%,58%,46403,42%,58%,16361,43%,57%,2607,43%,57%
2021-06-17,12596,45%,55%,32243,44%,56%,108765,40%,60%,137135,37%,63%,123874,37%,63%,119780,40%,60%,84993,42%,58%,46541,42%,58%,16411,43%,57%,2623,46%,54%