Date,Total_Bed_Capacity,Total_Beds_Occupancy,DCH & DCHC_ Bed_Capacity,DCH & DCHC_ Beds_Occupancy,CCC2_Active_Bed_Capacity,CCC2_Active_Bed_Occupancy,ICU_Bed_Capacity,ICU_Beds_Occupancy,O2_Bed_Capacity,O2_Beds_Occupancy,Ventilator_Bed_Capacity,Ventilator_Beds_Occupancy
2020-06-07,17936,13739,10531,9227,7405,4512,1157,1141,5114,3760,476,446
2020-06-08,18110,13759,10702,9278,7408,4481,1164,1154,5946,4532,493,471
2020-06-09,17835,13390,10314,9065,7521,4325,1158,1142,5181,3948,503,481
2020-06-10,17617,13143,10338,9030,7279,4113,1163,1152,5202,3905,507,483
2020-06-11,17732,13146,10450,9098,7282,4048,1181,1167,5260,3986,530,497
2020-06-12,,,,,,,,,,,,
2020-06-13,17830,13201,10514,9335,7316,3866,1206,1189,5286,4126,532,520
2020-06-14,17805,13142,10492,9244,7313,3898,1197,1187,5298,4060,525,514
2020-06-15,18262,12784,11135,9545,7127,3239,1163,1162,5612,4315,532,521
2020-06-16,17654,12347,11148,9144,6506,3203,1197,1159,6951,5644,757,741
2020-06-17,18294,12870,11776,9742,6518,3128,1215,1163,7114,5943,714,699
2020-06-18,18380,12303,11862,9387,6518,2916,1278,1183,7212,5902,704,676
2020-06-19,18424,12352,11906,9407,6518,2945,1219,1147,7275,5995,701,678
2020-06-20,18434,12271,11891,9331,6543,2940,1258,1186,7236,5010,724,699
2020-06-21,18059,12145,11891,9301,6168,2844,1305,1225,7226,5977,734,706
2020-06-22,18070,12207,11901,9253,6169,2954,1315,1215,7226,5977,734,704
2020-06-23,18392,12183,12130,9207,6262,2976,1362,1254,7382,5901,767,730
2020-06-24,18391,12037,12122,9199,6260,2838,1362,1258,7374,5915,767,735
2020-06-25,18412,11995,12146,9232,6266,2763,1375,1273,7385,5935,771,739
2020-06-26,18744,12121,12478,9299,6266,2822,1394,1290,7705,5985,770,744
2020-06-27,18775,12004,12479,9284,6296,2720,1400,1289,7700,6007,775,743
2020-06-28,18796,12071,12479,9284,6317,2789,1400,1299,7700,6006,775,745
2020-06-29,18854,11920,12536,9198,6318,2722,1431,1263,7724,5877,804,751
2020-06-30,18854,11998,12536,9312,6318,2686,1431,1257,7724,5969,804,750
2020-07-01,19205,12263,13061,9587,6144,2676,1557,1415,7893,6114,928,861
2020-07-02,19561,12288,13401,9607,6160,2681,1567,1421,8425,6261,927,867
2020-07-03,19519,12401,13359,9665,6160,2736,1585,1440,8406,6284,935,878
2020-07-04,19973,12766,13789,9866,6184,2900,1540,1410,8836,6390,885,849
2020-07-05,19913,12705,13789,9826,6124,2879,1540,1410,8836,6404,885,846
2020-07-06,21683,12898,15609,10046,6074,2852,1606,1482,10549,6468,942,900
2020-07-07,23252,12848,17178,9982,6074,2866,1729,1487,11589,6459,1051,914
2020-07-08,23314,12747,17239,9990,6075,2757,1733,1500,11640,6418,1052,922
2020-07-09,23414,12820,17239,9984,6175,2836,1733,1507,11640,6386,1052,911
2020-07-10,23084,12616,16859,9960,6225,2656,1738,1523,11250,6337,1054,920
2020-07-11,22756,12626,16859,9889,5897,2737,1738,1514,11250,6303,1054,915
2020-07-12,22821,12740,16859,10011,5962,2729,1738,1498,11250,6394,1054,920
2020-07-13,22819,12619,16855,9893,5964,2726,1737,1510,11247,6298,1053,928
2020-07-14,22843,12663,16862,9771,5981,2691,1737,1525,11254,6215,1053,932
2020-07-15,22885,12335,16862,9773,6023,2562,1737,1534,11254,6210,1053,932
2020-07-16,22886,12433,16862,9832,6024,2601,1737,1521,11254,6256,1053,929
2020-07-17,22666,12488,16862,9909,5804,2579,1737,1516,11254,6343,1053,928
2020-07-18,22652,12456,16862,9931,5790,2525,1737,1544,11254,6344,1053,942
2020-07-19,22392,12156,16862,9896,5530,2260,1737,1539,11254,6320,1053,943
2020-07-20,22157,12002,16811,9834,5346,2168,1748,1535,11288,6271,1054,943
2020-07-21,22057,11920,16811,9821,5246,2099,1748,1541,11288,6266,1054,943
2020-07-22,22007,11762,16811,9787,5196,1975,1748,1549,11288,6266,1054,944
2020-07-23,21909,11702,16811,9801,5098,1909,1748,1534,11288,6294,1054,945
2020-07-24,21884,11684,16788,9858,5096,1826,1764,1557,11284,6322,1080,965
2020-07-25,21884,11651,16788,9831,5096,1820,1764,1575,11284,6297,1080,967
2020-07-26,21883,11518,16815,9734,5068,1784,1776,1558,11297,6292,1089,969
2020-07-27,21855,11127,16815,9352,5040,1775,1776,1542,11297,6021,1089,949
2020-07-28,21252,10924,16412,9234,4840,1690,1753,1549,10916,5898,1066,954
2020-07-29,21298,10861,16412,9218,4886,1643,1753,1554,10916,5867,1066,952
2020-07-30,21097,10792,16362,9194,4735,1598,1748,1570,10872,5855,1063,957
2020-07-31,20906,10765,16308,9261,4598,1504,1755,1570,10811,5935,1069,964
2020-08-01,20386,10699,16308,9261,4078,1438,1755,1523,10811,5942,1069,933
2020-08-02,19886,10188,15738,8779,4148,1409,1762,1448,10399,5625,1032,880
2020-08-03,19786,10064,15738,8673,4048,1391,1762,1445,10399,5549,1032,874
2020-08-04,19770,10057,15722,8605,4048,1452,1748,1436,10395,5525,1029,873
2020-08-05,19841,9945,15759,8491,4082,1454,1761,1433,10432,5454,1035,867
2020-08-06,19840,9827,15759,8368,4081,1459,1761,1424,10432,5384,1035,871
2020-08-07,19908,9816,15827,8400,4081,1416,1770,1439,10488,5324,1056,895
2020-08-08,20022,9943,15966,8517,4056,1426,1786,1455,10600,5384,1074,914
2020-08-09,20162,9874,16106,8534,4056,1340,1822,1477,10697,5388,1085,913
2020-08-10,20162,9840,16106,8494,4056,1346,1822,1464,10697,5392,1085,910
2020-08-11,20166,9606,16140,8323,4026,1283,1832,1488,10721,5230,1088,914
2020-08-12,20166,9653,16140,8349,4026,1304,1832,1486,10721,5234,1088,908
2020-08-13,20027,9587,16052,8378,3975,1209,1836,1489,10510,5287,1095,927
2020-08-14,20048,9694,16052,8431,3996,1263,1836,1501,10510,5311,1095,938
2020-08-15,19998,9697,16052,8489,3946,1208,1836,1493,10510,5389,1095,926
2020-08-16,19921,9720,16075,8527,3846,1193,1844,1514,10525,5389,1096,936
2020-08-17,,,,,,,,,,,,
2020-08-18,19660,9435,15814,8269,3846,1166,1818,1493,10359,5258,1084,940
2020-08-19,17311,8075,13465,6946,3846,1129,1431,1200,8894,4433,912,790
2020-08-20,17311,8065,13465,6965,3846,1100,1431,1194,8894,4439,912,778
2020-08-21,17311,8189,13465,7059,3846,1130,1431,1192,8894,4475,912,773
2020-08-22,17311,8234,13465,7112,3846,1122,1431,1198,8894,4533,912,761
2020-08-23,17313,8219,13467,7181,3846,1038,1435,1213,8892,4565,913,770
2020-08-24,17326,8138,13480,7132,3846,1006,1435,1196,8905,4536,913,770
2020-08-25,17326,8105,13480,7155,3846,950,1435,1195,8905,4438,913,776
2020-08-26,,,,,,,,,,,,
2020-08-27,16624,8169,13328,7174,3296,995,1432,1208,8701,4472,940,806
2020-08-28,16568,8166,13272,7126,3296,1040,1415,1214,8662,4382,933,809
2020-08-29,16572,8179,13272,7135,3300,1044,1415,1211,8662,4367,933,805
2020-08-30,16454,8121,13272,7069,3182,1052,1415,1206,8662,4285,933,798
2020-08-31,,,,,,,,,,,,
2020-09-01,16029,8013,12877,7049,3152,964,1401,1220,8362,4267,928,815
2020-09-02,15911,8248,12759,7251,3152,997,1401,1229,7912,4350,928,836
2020-09-03,15465,8252,12313,7228,4724,1409,1397,1257,7836,4342,929,855
2020-09-04,15469,8371,12315,7298,4724,1461,1399,1258,7836,4427,931,848
2020-09-05,15467,8588,12315,7449,4766,1589,1399,1247,7836,4547,931,847
2020-09-06,15485,8753,12315,7567,4899,1728,1399,1240,7836,4563,931,832
2020-09-07,15804,9154,12620,7872,3321,1413,1413,1276,7827,4735,938,856
2020-09-08,15796,9289,12608,7956,3401,1482,1413,1288,7839,4804,936,867
2020-09-09,15798,9641,6845,5453,3401,1503,1414,1330,7840,4942,936,898
2020-09-10,15776,9905,6828,5543,3396,1625,1415,1330,7812,5033,937,892
2020-09-11,16063,10009,6879,5546,3396,1667,1417,1336,7852,4952,947,900
2020-09-12,15964,10200,12880,8524,3123,1533,1417,1329,7852,4987,947,891
2020-09-13,15992,10381,12905,8604,3126,1750,1418,1327,7876,5048,959,897
2020-09-14,17426,11506,14319,9723,2921,1740,1732,1591,8837,5759,1102,1035
2020-09-15,,,,,,,,,,,,
2020-09-16,17724,11793,14559,9959,2918,1769,1786,1576,8805,5885,1119,993
2020-09-17,17534,11895,14559,10054,2928,1827,1786,1583,8805,5919,1119,1005
2020-09-18,17534,12022,14559,10193,2928,1803,1786,1583,8805,6081,1119,1006
2020-09-19,17534,11824,14559,10097,2928,1752,1786,1610,8805,5975,1119,1014
2020-09-20,17797,11876,14822,10242,2928,1723,1916,1723,8932,5991,1133,1035
2020-09-21,17678,11460,14728,9898,2978,1650,1916,1714,8907,5896,1133,1028
2020-09-22,17663,11442,14713,9867,2978,1605,1923,1720,8882,5766,1137,1030
2020-09-23,17698,11319,14748,9831,2978,1573,1923,1729,8893,5741,1134,1034
2020-09-24,17698,11088,14748,9564,2978,1612,1923,1713,8893,5686,1134,1020
2020-09-25,,,,,,,,,,,,
2020-09-26,18009,11251,14859,9709,2964,1522,1917,1704,9004,5815,1128,1020
2020-09-27,18009,11178,14859,9619,2964,1570,1917,1714,9004,5777,1128,1023
2020-09-28,18285,11476,14920,9797,2964,1598,1969,1748,9016,5885,1155,1037
2020-09-29,18292,11547,14927,9851,3164,1651,1976,1746,9016,5912,1162,1045
2020-09-30,,,,,,,,,,,,
2020-10-01,18429,11836,15056,10115,3164,1600,2010,1774,9102,6066,1133,1039
2020-10-02,18429,11891,15056,10170,3178,1621,2010,1785,9102,6076,1133,1033
2020-10-03,18392,12018,15019,10281,3178,1628,2017,1782,9088,6141,1133,1025
2020-10-04,18393,11964,15009,10245,3178,1596,2019,1780,9076,6064,1132,1016
2020-10-05,18431,11984,15047,10268,3178,1716,2018,1790,9115,6131,1131,1032
2020-10-06,18412,11864,15047,10199,3178,1555,2018,1784,9115,6070,1131,1030
2020-10-07,18412,11828,15047,10234,3365,1558,2018,1797,9115,6057,1131,1029
2020-10-08,18451,11972,15086,10297,3444,1605,2031,1805,9141,6080,1140,1042
2020-10-09,18443,11840,15077,10160,3444,1623,2033,1771,9131,6074,1142,1036
2020-10-10,18467,11765,15077,10155,3444,1637,2033,1776,9131,6071,1142,1034
2020-10-11,18467,11711,15077,10060,3444,1641,2033,1773,9131,6022,1142,1025
2020-10-12,18459,11683,15069,9996,3444,1608,2027,1747,9129,6031,1145,1020
2020-10-13,18447,11455,15057,9827,3444,1550,1998,1725,9145,5869,1154,1032
2020-10-14,18550,11504,15150,9866,3444,1544,2024,1736,9212,5873,1167,1029
2020-10-15,18550,11365,15150,9737,3444,1511,2024,1722,9212,5828,1167,1022
2020-10-16,18551,11217,15151,9544,3444,1468,2036,1709,9199,5710,1183,1021
2020-10-17,18551,11066,15151,9397,3444,1436,2036,1689,9199,5665,1183,1011
2020-10-18,18551,10755,15151,9258,3444,1399,2036,1671,9199,5582,1183,1006
2020-10-19,18521,10485,15151,9078,3444,1338,2036,1679,9199,5476,1183,1004
2020-10-20,18477,10241,15107,8928,3444,1296,2040,1665,9271,5362,1185,1014
2020-10-21,18477,9870,15107,8584,3444,1267,2040,1637,9271,5126,1185,995
2020-10-22,18477,9673,15107,8396,3588,1223,2040,1632,9271,4979,1185,984
2020-10-23,18417,9492,15047,8249,3588,1212,2037,1612,9234,4882,1179,974
2020-10-24,18476,9282,15106,8101,3588,1197,2035,1608,9253,4782,1177,979
2020-10-25,18476,9089,15106,7911,3588,1171,2035,1590,9253,4668,1177,978
2020-10-26,18476,8777,15106,7680,3556,1117,2035,1545,9253,4493,1177,965
2020-10-27,18476,8553,15106,7482,3556,1065,2035,1502,9253,4355,1177,942
2020-10-28,18476,8372,15106,7328,3556,1065,2035,1490,9253,4256,1177,918
2020-10-29,18476,8191,15106,7167,3556,1048,2035,1501,9253,4105,1177,933
2020-10-30,18315,8060,14945,7042,3556,1030,2036,1483,9103,3982,1179,923
2020-10-31,18362,7817,14992,6841,3556,1009,2052,1491,9134,3860,1194,935
2020-11-01,18362,7667,14992,6765,3412,971,2052,1484,9134,3807,1194,935
2020-11-02,18362,7450,14992,6586,3412,923,2052,1459,9134,3733,1194,916
2020-11-03,18362,7104,14992,6333,3412,869,2052,1423,9134,3589,1194,909
2020-11-04,18195,6744,14825,6003,3412,838,2042,1360,9012,3355,1192,897
2020-11-05,18195,6630,14825,5912,3412,793,2042,1345,9012,3267,1192,886
2020-11-06,17816,6606,14586,5914,3412,764,2020,1361,8815,3273,1193,890
2020-11-07,17816,6286,14586,5639,3342,747,2020,1292,8815,3156,1193,860
2020-11-08,17816,6061,14586,5416,3342,740,2020,1270,8815,2994,1193,848
2020-11-09,17704,6032,14474,5399,3342,736,2011,1280,8699,2973,1189,847
2020-11-10,17704,5898,14474,5299,3342,697,2011,1263,8699,2949,1189,844
2020-11-11,17707,5746,14477,5207,3342,644,2008,1251,8705,2886,1186,832
2020-11-12,17582,5578,14477,5052,3342,633,2008,1217,8705,2794,1186,822
2020-11-13,17461,5368,14456,4876,3342,618,2003,1200,8689,2702,1183,810
2020-11-14,17467,5292,14462,4835,3342,606,2003,1192,8695,2691,1183,805
2020-11-15,17467,5208,14462,4781,3342,593,2003,1208,8695,2629,1183,819
2020-11-16,17467,5138,14462,4728,3342,559,2003,1195,8695,2597,1183,801
2020-11-17,17467,4938,14462,4545,3242,551,2003,1155,8695,2513,1183,787
2020-11-18,17100,4851,14145,4531,3200,541,1978,1151,8423,2502,1184,787
2020-11-19,17100,4944,14145,4622,3200,529,1978,1148,8423,2557,1184,791
2020-11-20,16708,5000,13753,4668,3200,549,1947,1139,8120,2593,1168,789
2020-11-21,16711,5041,13756,4694,3200,563,1947,1153,8123,2619,1168,796
2020-11-22,16711,5145,13756,4775,3200,565,1947,1155,8123,2635,1168,801
2020-11-23,16594,5224,13756,4849,3200,560,1947,1146,8123,2657,1168,786
2020-11-24,16546,5264,13756,4883,3200,561,1947,1155,8123,2704,1168,797
2020-11-25,16546,5416,13756,5006,3200,594,1947,1154,8123,2825,1168,788
2020-11-26,16712,5509,13922,5082,3200,612,1926,1140,8310,2859,1164,777
2020-11-27,16669,5584,13879,5138,3200,618,1920,1143,8273,2896,1163,781
2020-11-28,16669,5607,13879,5169,3100,601,1920,1148,8273,2922,1163,782
2020-11-29,16669,5600,13879,5147,3100,592,1920,1145,8273,2920,1163,782
2020-11-30,16669,5544,13879,5079,3100,598,1920,1184,8273,2814,1163,796
2020-12-01,16669,5418,13879,4960,3100,596,1920,1161,8273,2727,1163,785
2020-12-02,16735,5379,13945,4930,3100,603,1934,1155,8325,2705,1166,775
2020-12-03,16735,5379,13945,4911,3100,590,1934,1140,8325,2698,1166,770
2020-12-04,16735,5308,13945,4841,3100,615,1934,1154,8325,2635,1166,785
2020-12-05,16707,5253,13917,4813,3100,596,1917,1133,8314,2630,1145,760
2020-12-06,16707,5140,13917,4727,3100,590,1917,1097,8314,2595,1145,736
2020-12-07,,,,,,,,,,,,
2020-12-08,,,,,,,,,,,,
2020-12-09,16593,4893,13917,4548,3100,523,1917,1082,8314,2489,1145,734
2020-12-10,16593,4784,13917,4426,3100,522,1917,1061,8314,2382,1145,722
2020-12-11,16593,4779,13917,4420,3100,515,1917,1057,8314,2343,1145,731
2020-12-12,16593,4705,13917,4359,3100,530,1917,1047,8314,2302,1145,718
2020-12-13,16593,4588,13917,4292,3023,514,1917,1023,8314,2264,1145,702
2020-12-14,16584,4497,13908,4217,3023,506,1886,997,8326,2222,1137,678
2020-12-15,16584,4461,13908,4175,3167,488,1886,1001,8326,2206,1137,685
2020-12-16,16574,4426,13898,4133,3167,490,1886,961,8316,2211,1137,666
2020-12-17,16437,4296,13898,4019,3167,493,1886,941,8316,2132,1137,642
2020-12-18,16437,4202,13898,3943,3167,488,1886,936,8316,2077,1137,640
